ID,District,Name,Address,Contact
37,CHENNAI,"ICH,EGMORE,CHENNAI TN.","HALLS ROAD, EGMORE, CHENNAI, TAMIL NADU 600008",9840729083
38,CHENNAI,"GOVT. OMANDHURAR MEDICAL COLL AND HOSP,CHENNAI TN.","OMANDURAR GOVERNMENT ESTATE WALLAHJAH ROAD, ANNA SALAI, OPPOSITE TO, CHENNAI",9443789221
39,CHENNAI,"KAUVERY HOSPITAL CHENNAI,TN.","199, LUZ CHURCH RD, KAPALI THOTTAM, MYLAPORE, CHENNAI,?",8144938757
40,CHENNAI,"GOVT OPTHOMOLOGY HOSPITAL,CHENNAI TN.","OLD NO.132, RUKMANI LAKSHMIPATHY SALAI, EGMORE, CHENNAI, TAMIL NADU 600008",9444821439
41,CHENNAI,"GOVT. ROYAPETTAH HOSPITAL, ROYAPETTA,CHENNAI TN.","WESTCOTT ROAD, ROYAPETTAH, OPP YMCA GROUND, CHENNAI, TAMIL NADU 600014",9840746584
42,CHENNAI,"GOVERNMENT PERIPHERAL HOSP,KK NAGAR,CHENNAI TN.","ANNA MAIN RD, BHARATHIDASAN COLONY, WEST JAFFERKHANPET, CHENNAI",9444219729
43,CHENNAI,"KGH,CHENNAI TN.","CHEPAUK, TRIPLICANE, CHENNAI, TAMIL NADU 600005",9094969039
44,CHENNAI,"CANCER INSTITUTE ADYAR,CHENNAI TN.","NO 1, EAST CANAL BANK ROAD, GANDHI NAGAR, ADYAR, CHENNAI,",9444061914
45,CHENNAI,"VIJAYA HOSPITAL,CHENNAI TN.","NO.434, N.S.K.SALAI, VADAPALANI, CHENNAI",9941906328
46,CHENNAI,"GOVERNMENT PERIPHERAL HOSP,TONDIARPET,CHENNAI TN.","KAILASAM ST, NEW WASHERMENPET, ROYAPURAM, CHENNAI, TAMIL NADU 600081",9710459310
47,CHENNAI,"CSI KALYANI GENERAL HOSPITAL, CHENNAI TN.","NO. 15, DR RADHA KRISHNAN SALAI, MYLAPORE, CHENNAI",9840411877
48,CHENNAI,VOLUNTARY HEALTH SERVICES THARAMANI CHENNAI TN.,"NO 1, RAJIV GANDHI SALAI, THARAMANI, CHENNAI?",9841048487
49,CHENNAI,"KUMARAN HOSPITAL KILPAUK, CHENNAI TN.","?214, E.V.R PERIYAR SALAI, POONAMALLEE HIGH ROAD, KILPAUK,?CHENNAI",9940054344
